step,episode,reward,episode_length,loss
2,1,1.0,2.0,0.23252981901168823
4,2,1.0,2.0,0.16302776336669922
6,3,1.0,2.0,0.09064479172229767
8,4,-1.0,2.0,0.4843228757381439
10,5,-1.0,2.0,0.4541092813014984
12,6,1.0,2.0,0.10727021098136902
14,7,1.0,2.0,0.1023300439119339
16,8,-1.0,2.0,0.39561331272125244
18,9,1.0,2.0,0.12799912691116333
20,10,1.0,2.0,0.1079222783446312
22,11,-1.0,2.0,0.3942074477672577
24,12,1.0,2.0,0.12980210781097412
26,13,1.0,2.0,0.11653658002614975
28,14,1.0,2.0,0.10921694338321686
30,15,1.0,2.0,0.08195953816175461
32,16,1.0,2.0,0.07270729541778564
34,17,1.0,2.0,0.055826038122177124
36,18,-1.0,2.0,0.5974040031433105
38,19,1.0,2.0,0.03793290629982948
40,20,1.0,2.0,0.03799350932240486
